,date,account_value,reward,cum_reward
0,2020-01-02,100000.0,-0.005177881954727055,-0.005177881954727055
1,2020-01-03,99920.4349357605,0.006337196788672155,0.0011593148339451
2,2020-01-06,99990.2291172551,-0.0069797437774729515,-0.005820428943527853
3,2020-01-07,99905.50309765797,0.02815687705970951,0.022336448116181663
4,2020-01-08,100209.07071565177,0.046706216471571915,0.06904266458775359
5,2020-01-09,100771.56617386815,0.0057380056540684505,0.07478067024182203
6,2020-01-10,100843.16709322589,0.06913760154048898,0.143918271782311
7,2020-01-13,101605.43492394859,-0.05256776612825478,0.09135050565405621
8,2020-01-14,101121.32380329276,-0.01925002240912072,0.07210048324493552
9,2020-01-15,100929.13842386281,0.06170157718760232,0.1338020604325378
10,2020-01-16,101554.67602790133,0.060193645204248754,0.1939957056367866
11,2020-01-17,102199.7865252388,-0.04213564076012888,0.15186006487665774
12,2020-01-21,101734.46378836124,0.022929879185564928,0.17478994406222265
13,2020-01-22,101993.8763368461,0.03255710059396662,0.2073470446561893
14,2020-01-23,102310.0511384424,-0.021992227648835787,0.18535481700735343
15,2020-01-24,102084.59536371355,-0.23416443062664913,-0.04880961361929566
16,2020-01-27,99631.93059533063,0.22583121273102655,0.17702159911173085
17,2020-01-28,102123.0955999854,0.17927887094666853,0.3563004700583994
18,2020-01-29,104180.79344381603,-0.013626755190574621,0.3426737148678248
19,2020-01-30,104037.67687608495,-0.4088907935717747,-0.0662170787039499
20,2020-01-31,100206.67488262818,-0.025069058409511104,-0.09128613711346101
21,2020-02-03,99951.73804186477,0.2957049843194269,0.20441884720596593
22,2020-02-04,102703.72376988649,0.07647008699761922,0.28088893420358524
23,2020-02-05,103463.85252636836,0.10898512899035052,0.3898740631939359
24,2020-02-06,104659.47143122728,-0.13043490219456785,0.2594391609993679
25,2020-02-07,103345.68480650881,0.04431929366400436,0.30375845466337226
26,2020-02-10,103765.08117500113,-0.058412582314831825,0.24534587234854047
27,2020-02-11,103166.97081656472,0.22418831215606305,0.46953418450460344
28,2020-02-12,105475.86527838162,-0.06848785390576131,0.40104633059884237
29,2020-02-13,104802.79316999287,0.0019129671550339848,0.40295929775387623
30,2020-02-14,104819.64866022218,-0.1786963638991724,0.22426293385470383
31,2020-02-18,102896.95123341512,0.13816334013785597,0.3624262739925598
32,2020-02-19,104386.98407039228,-0.09935479250374782,0.26307148148881204
33,2020-02-20,103340.47035324508,-0.2147886600003856,0.04828282148842637
34,2020-02-21,101184.61353626888,-0.4437615622831911,-0.3954787407947648
35,2020-02-24,96948.7543280941,-0.2989338396608677,-0.6944125804556326
36,2020-02-25,94308.06990482398,0.13450588150798704,-0.5599066989476452
37,2020-02-26,95605.74506040642,-0.5640957038052251,-1.1240024027528708
38,2020-02-27,90610.34249947625,-0.005148978097349367,-1.1291513808502198
39,2020-02-28,90566.20260233714,0.7446428172476833,-0.3845085636025365
40,2020-03-02,96547.4201321707,-0.2792399205487321,-0.6637484841512685
41,2020-03-03,94074.21632602859,0.40158703017440006,-0.26216145397686846
42,2020-03-04,97886.33745107416,-0.2989948850228867,-0.5611563389997551
43,2020-03-05,94840.90383730289,-0.11811787347965735,-0.6792742124794126
44,2020-03-06,93577.4163133719,-0.6865999743706479,-1.3658741868500603
45,2020-03-09,86264.05290721398,0.5854680566611371,-0.7804061301889228
46,2020-03-10,92015.74448584286,-0.29853528569224747,-1.07894141588117
47,2020-03-11,89177.16140289276,-0.842593287621287,-1.921534703502458
48,2020-03-12,80967.5496451266,0.9080752438599315,-1.0134594596425264
49,2020-03-13,90654.85409663056,-1.0819707625903947,-2.0954302222329213
50,2020-03-16,79878.12145364132,0.3203110392298546,-1.775119183003066
51,2020-03-17,83343.34416977153,-0.19167304203751642,-1.9667922250405827
52,2020-03-18,81303.46139740042,-0.05836302713663148,-2.0251552521772145
53,2020-03-19,80721.58230498113,-0.4725384337778411,-2.4976936859550554
54,2020-03-20,76160.21537012451,-0.1495408121046324,-2.647234498059688
55,2020-03-23,74605.32615713669,0.6934161305943038,-1.9538183674653837
56,2020-03-24,81688.92221479237,-0.04262332933614283,-1.9964416968015268
57,2020-03-25,81288.4627878067,0.3978027957877192,-1.5986389010138073
58,2020-03-26,84928.63507824633,-0.32855369203145596,-1.927192593045263
59,2020-03-27,81640.91010153142,0.21735588451827545,-1.7098367085269879
60,2020-03-30,83934.52161178637,-0.016377063090992596,-1.7262137716179804
61,2020-03-31,83762.2296738062,-0.4115984679494186,-2.137812239567398
62,2020-04-01,79356.60413324532,0.12224873968940628,-2.0155634998779925
63,2020-04-02,80574.74094387378,-0.10709777793214675,-2.1226612778101397
64,2020-04-03,79480.34812363151,0.6295403096440239,-1.4931209681661157
65,2020-04-06,85562.72055436816,-0.09340274003781199,-1.5865237082039274
66,2020-04-07,84602.20543643938,0.1999241723608077,-1.3865995358431193
67,2020-04-08,86515.1262189362,0.057926753181628605,-1.3286727826614908
68,2020-04-09,87015.96348698866,0.15747868039276416,-1.171194102268727
69,2020-04-13,88383.57277658717,0.41317370425533095,-0.7580203980133958
70,2020-04-14,92309.43283012547,-0.07914809738249204,-0.837168495395888
71,2020-04-15,91539.18274220193,0.06705126393889241,-0.7701172314569954
72,2020-04-16,92193.54527638014,-0.1182310701378609,-0.8883483015948566
73,2020-04-17,91010.68931190981,-0.17606858416626697,-1.0644168857611234
74,2020-04-20,89117.18154073073,-0.2533853480383077,-1.3178022337994313
75,2020-04-21,86568.7513978398,0.22866242342186946,-1.0891398103775616
76,2020-04-22,89048.68152760742,-0.032224069517788494,-1.1213638798953498
