,date,account_value,reward,cum_reward
0,2020-01-02,100000.0,-0.03823656210364842,-0.03823656210364842
1,2020-01-03,99410.35484191896,0.2194453826913967,0.18120882058774823
2,2020-01-06,101859.49949523927,-0.007226540849619099,0.1739822797381292
3,2020-01-07,101795.98985168459,0.07367570354903864,0.24765798328716784
4,2020-01-08,102597.52842590334,0.0925013609838489,0.3401593442710168
5,2020-01-09,103729.75913879396,0.058393936645096935,0.3985532809161137
6,2020-01-10,104452.46092102052,0.06468601628702679,0.46323929720314055
7,2020-01-13,105145.96092102052,-0.054952715209189235,0.40828658199395135
8,2020-01-14,104536.41270324709,0.05119605574610808,0.4594826377400593
9,2020-01-15,105143.76878234865,0.07694516698968991,0.5364278047297493
10,2020-01-16,106056.26878234865,0.1304133649662448,0.6668411696959939
11,2020-01-17,107007.99515505634,0.019478393300369986,0.6863195629963639
12,2020-01-21,107198.60659153835,0.00643683361309988,0.6927563966094641
13,2020-01-22,107117.23793216785,0.0019065634107798787,0.6946629600202436
14,2020-01-23,107091.23784651517,-0.12457382727235271,0.570089132747891
15,2020-01-24,106506.72238881857,-0.18752362051755833,0.38256551223033275
16,2020-01-27,104081.01506436997,0.09446019127899347,0.4770257035093261
17,2020-01-28,104276.24590358057,0.03728500256742035,0.5143107060767466
18,2020-01-29,104624.98567877318,-0.018145965350381696,0.4961647407263648
19,2020-01-30,104521.6351480605,-0.13399449693755155,0.3621702437888132
20,2020-01-31,102883.96155052632,0.2788824420198926,0.6410526858087059
21,2020-02-03,104104.09763376451,-0.24533226120389895,0.3957204246048069
22,2020-02-04,101321.18601721068,0.004861097206243577,0.4005815218110504
23,2020-02-05,101220.07187775066,0.17336409131318498,0.5739456131242356
24,2020-02-06,103052.14400909832,0.01690602340082051,0.5908516365250559
25,2020-02-07,102950.28414044598,0.18265625612400646,0.7735078926490624
26,2020-02-10,104880.27232550459,-0.001143329776862908,0.7723645628721996
27,2020-02-11,104887.8613147624,0.057625494823670166,0.8299900576958696
28,2020-02-12,105541.97996710615,-0.025226313768959376,0.8047637439269102
29,2020-02-13,105292.89097784834,0.03914606170014391,0.8439098056270539
30,2020-02-14,105712.40794562177,-0.008296946715189117,0.8356128589118651
31,2020-02-18,105638.58165167646,0.04489612654399273,0.8805089854558579
32,2020-02-19,106122.95457648115,-0.05329021278726122,0.8272187726685966
33,2020-02-20,105745.60722108677,-0.20530198154204715,0.6219167911265494
34,2020-02-21,103437.55912571549,-0.30403207299107154,0.31788471813547786
35,2020-02-24,102477.70129643753,-0.17148623970064417,0.1463984784348337
36,2020-02-25,100014.69595273535,0.02292628291745103,0.16932476135228475
37,2020-02-26,100308.24212536166,-0.4505310854855656,-0.28120632413328095
38,2020-02-27,94946.28422141296,0.12297951213582865,-0.15822681199745225
39,2020-02-28,96460.20967809157,0.30502544864302156,0.14679863664556933
40,2020-03-02,100008.38709037576,-0.3206951330455801,-0.17389649640001073
41,2020-03-03,96607.04473370663,0.2821750173880131,0.10827852098800235
42,2020-03-04,99823.78177069192,-0.42768007701970584,-0.3194015560317036
43,2020-03-05,95014.00271144923,-0.13432175610155825,-0.45372331213326195
44,2020-03-06,93780.26098691864,-0.4881434176822063,-0.9418667298154678
45,2020-03-09,93703.62941861455,0.3942951816904001,-0.547571548125068
46,2020-03-10,93703.62941861455,-0.3893624883722287,-0.9369340364972967
47,2020-03-11,88866.62237332648,-0.6048436120851758,-1.5417776485824726
48,2020-03-12,81530.12237332648,0.6382743079945203,-0.9035033405879515
49,2020-03-13,89181.97845242804,-0.8550390527294652,-1.7585423933174171
50,2020-03-16,79297.77667020148,0.23680367721864445,-1.5217387160987725
51,2020-03-17,79218.62058340949,-0.14648846916376385,-1.6682271852625365
52,2020-03-18,77530.23457999152,0.12954365004014062,-1.5386835352223958
53,2020-03-19,78824.53389639777,-0.2578373937723599,-1.7965209289947555
54,2020-03-20,75816.62740225715,-0.09491473935814444,-1.8914356683529001
55,2020-03-23,74717.6308202259,0.5141511802279026,-1.3772844881249975
56,2020-03-24,80166.42842764777,-0.21454218322065816,-1.5918266713456553
57,2020-03-25,77928.53047842902,0.3431525778096952,-1.2486740935359604
58,2020-03-26,82076.73116202277,-0.33066597388297225,-1.5793400674189324
59,2020-03-27,78503.92842764777,0.23861314659997684,-1.3407269208189558
60,2020-03-30,81031.62740225715,0.1135818026898011,-1.2271451181291546
61,2020-03-31,82150.93526358527,-0.4023078755696576,-1.629452993698812
62,2020-04-01,78147.6308202259,0.09810599583818996,-1.5313469978606222
63,2020-04-02,79213.02876944465,-0.1634675546479494,-1.6948145525085712
64,2020-04-03,77605.83150381965,0.5715431276140486,-1.1232714248945233
65,2020-04-06,82223.75660051464,-0.004356962244641376,-1.1276283871391646
66,2020-04-07,82175.25200692505,0.15041492548157398,-0.9772134616575907
67,2020-04-08,83817.38882303365,0.005202641921084383,-0.9720108197365064
68,2020-04-09,83898.21213831879,0.02903191215903393,-0.9429789075774723
69,2020-04-13,84320.3250581104,0.3256631762505942,-0.617315731326878
70,2020-04-14,87889.90904119644,-0.04820499654871766,-0.6655207278755957
71,2020-04-15,87422.89802764669,0.005133972766485677,-0.66038675510911
72,2020-04-16,87491.98239730611,0.11245428637582235,-0.5479324687332877
73,2020-04-17,88858.47325312566,-0.10180634790491112,-0.6497388166381987
74,2020-04-20,87708.90833001478,-0.2609706153083667,-0.9107094319465656
75,2020-04-21,84236.03571793145,0.2992035782261175,-0.6115058537204482
76,2020-04-22,87474.01978654262,0.07859651908119024,-0.5329093346392577
