,date,open
0,2010-01-04,2294.409912109375
1,2010-01-05,2307.27001953125
2,2010-01-06,2307.7099609375
3,2010-01-07,2298.090087890625
4,2010-01-08,2292.239990234375
5,2010-01-11,2324.780029296875
6,2010-01-12,2297.280029296875
7,2010-01-13,2289.4599609375
8,2010-01-14,2303.31005859375
9,2010-01-15,2316.97998046875
10,2010-01-19,2291.02001953125
11,2010-01-20,2304.31005859375
12,2010-01-21,2298.22998046875
13,2010-01-22,2255.760009765625
14,2010-01-25,2220.2900390625
15,2010-01-26,2203.43994140625
16,2010-01-27,2200.300048828125
17,2010-01-28,2220.31005859375
18,2010-01-29,2198.260009765625
19,2010-02-01,2155.81005859375
20,2010-02-02,2171.659912109375
21,2010-02-03,2181.010009765625
22,2010-02-04,2176.389892578125
23,2010-02-05,2131.919921875
24,2010-02-08,2140.10009765625
25,2010-02-09,2153.10009765625
26,2010-02-10,2147.4599609375
27,2010-02-11,2145.090087890625
28,2010-02-12,2157.68994140625
29,2010-02-16,2200.3798828125
30,2010-02-17,2222.8701171875
31,2010-02-18,2223.219970703125
32,2010-02-19,2233.330078125
33,2010-02-22,2250.919921875
34,2010-02-23,2238.010009765625
35,2010-02-24,2222.39990234375
36,2010-02-25,2208.6201171875
37,2010-02-26,2234.43994140625
38,2010-03-01,2247.39990234375
39,2010-03-02,2279.070068359375
40,2010-03-03,2284.820068359375
41,2010-03-04,2282.570068359375
42,2010-03-05,2304.010009765625
43,2010-03-08,2326.25
44,2010-03-09,2325.780029296875
45,2010-03-10,2340.949951171875
46,2010-03-11,2351.110107421875
47,2010-03-12,2376.070068359375
48,2010-03-15,2361.919921875
49,2010-03-16,2367.320068359375
50,2010-03-17,2381.64990234375
51,2010-03-18,2387.5400390625
52,2010-03-19,2391.199951171875
53,2010-03-22,2360.35009765625
54,2010-03-23,2397.89990234375
55,2010-03-24,2406.719970703125
56,2010-03-25,2415.239990234375
57,2010-03-26,2406.72998046875
58,2010-03-29,2403.77001953125
59,2010-03-30,2406.68994140625
60,2010-03-31,2402.97998046875
61,2010-04-01,2411.679931640625
62,2010-04-05,2409.47998046875
63,2010-04-06,2420.330078125
64,2010-04-07,2433.10009765625
65,2010-04-08,2423.989990234375
66,2010-04-09,2441.31005859375
67,2010-04-12,2455.39990234375
68,2010-04-13,2454.949951171875
69,2010-04-14,2481.800048828125
70,2010-04-15,2503.409912109375
71,2010-04-16,2505.3798828125
72,2010-04-19,2477.800048828125
73,2010-04-20,2492.719970703125
74,2010-04-21,2506.610107421875
75,2010-04-22,2483.52001953125
76,2010-04-23,2514.85009765625
77,2010-04-26,2529.85009765625
78,2010-04-27,2512.580078125
79,2010-04-28,2483.030029296875
80,2010-04-29,2487.330078125
81,2010-04-30,2509.989990234375
82,2010-05-03,2472.320068359375
83,2010-05-04,2465.550048828125
84,2010-05-05,2395.2099609375
85,2010-05-06,2391.2099609375
86,2010-05-07,2308.7099609375
87,2010-05-10,2365.969970703125
88,2010-05-11,2347.699951171875
89,2010-05-12,2388.639892578125
90,2010-05-13,2416.360107421875
91,2010-05-14,2373.8798828125
92,2010-05-17,2352.77001953125
93,2010-05-18,2372.840087890625
94,2010-05-19,2307.780029296875
95,2010-05-20,2245.56005859375
96,2010-05-21,2169.580078125
97,2010-05-24,2220.60009765625
98,2010-05-25,2157.449951171875
99,2010-05-26,2226.239990234375
100,2010-05-27,2244.820068359375
101,2010-05-28,2275.18994140625
102,2010-06-01,2244.7900390625
103,2010-06-02,2234.590087890625
104,2010-06-03,2285.760009765625
105,2010-06-04,2257.050048828125
106,2010-06-07,2226.60009765625
107,2010-06-08,2176.070068359375
108,2010-06-09,2184.780029296875
109,2010-06-10,2188.7099609375
110,2010-06-11,2199.39990234375
111,2010-06-14,2263.659912109375
112,2010-06-15,2256.47998046875
113,2010-06-16,2293.56005859375
114,2010-06-17,2316.590087890625
115,2010-06-18,2308.93994140625
116,2010-06-21,2341.110107421875
117,2010-06-22,2296.830078125
118,2010-06-23,2264.409912109375
119,2010-06-24,2246.199951171875
120,2010-06-25,2224.72998046875
121,2010-06-28,2227.429931640625
122,2010-06-29,2183.919921875
123,2010-06-30,2134.030029296875
124,2010-07-01,2110.75
125,2010-07-02,2105.5
126,2010-07-06,2122.280029296875
127,2010-07-07,2099.659912109375
128,2010-07-08,2174.9599609375
129,2010-07-09,2174.199951171875
130,2010-07-12,2194.1201171875
131,2010-07-13,2221.25
132,2010-07-14,2246.989990234375
133,2010-07-15,2247.760009765625
134,2010-07-16,2231.7099609375
135,2010-07-19,2185.81005859375
136,2010-07-20,2165.35009765625
137,2010-07-21,2236.1298828125
138,2010-07-22,2216.0400390625
139,2010-07-23,2234.340087890625
140,2010-07-26,2271.6201171875
141,2010-07-27,2306.6201171875
142,2010-07-28,2284.6201171875
143,2010-07-29,2279.070068359375
144,2010-07-30,2227.2900390625
145,2010-08-02,2283.320068359375
146,2010-08-03,2291.75
147,2010-08-04,2291.090087890625
148,2010-08-05,2291.219970703125
149,2010-08-06,2267.419921875
150,2010-08-09,2298.81005859375
151,2010-08-10,2280.06005859375
152,2010-08-11,2236.929931640625
153,2010-08-12,2164.639892578125
154,2010-08-13,2183.090087890625
155,2010-08-16,2161.31005859375
156,2010-08-17,2197.090087890625
157,2010-08-18,2205.300048828125
158,2010-08-19,2204.800048828125
159,2010-08-20,2172.260009765625
160,2010-08-23,2188.340087890625
161,2010-08-24,2131.0
162,2010-08-25,2109.14990234375
163,2010-08-26,2148.489990234375
164,2010-08-27,2134.159912109375
165,2010-08-30,2145.760009765625
166,2010-08-31,2109.760009765625
167,2010-09-01,2142.75
168,2010-09-02,2178.989990234375
169,2010-09-03,2227.9599609375
170,2010-09-07,2227.260009765625
171,2010-09-08,2216.070068359375
172,2010-09-09,2251.090087890625
173,2010-09-10,2239.080078125
174,2010-09-13,2263.800048828125
175,2010-09-14,2281.31005859375
176,2010-09-15,2283.169921875
177,2010-09-16,2297.510009765625
178,2010-09-17,2318.419921875
179,2010-09-20,2322.800048828125
180,2010-09-21,2355.27001953125
181,2010-09-22,2339.909912109375
182,2010-09-23,2316.7099609375
183,2010-09-24,2356.260009765625
184,2010-09-27,2379.72998046875
185,2010-09-28,2373.1298828125
186,2010-09-29,2372.3701171875
187,2010-09-30,2390.9599609375
188,2010-10-01,2386.820068359375
189,2010-10-04,2362.25
190,2010-10-05,2368.52001953125
191,2010-10-06,2395.159912109375
192,2010-10-07,2391.6298828125
193,2010-10-08,2384.760009765625
194,2010-10-11,2403.4599609375
195,2010-10-12,2397.699951171875
196,2010-10-13,2432.550048828125
197,2010-10-14,2441.2099609375
198,2010-10-15,2461.699951171875
199,2010-10-18,2470.1201171875
200,2010-10-19,2442.2099609375
201,2010-10-20,2443.199951171875
